current arrears,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,1,0,0,1,0,2,2,1,0,5,2,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
history,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,1,0,0,1,0,2,2,1,0,5,2,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
cgpa,5.85,7.27,5.27,8.15,8.5,7.08,6.54,7.15,6.35,6.5,7.62,4.85,7.23,6.12,7.5,4.62,7.88,7.54,6.65,8.08,8.5,6.38,6.73,7.88,7.77,5.46,8.62,8.27,8.88,8.65,7.5,8.12,6.62,5.58,6.19,8.46,8.19,6.62,6.62,7.88,2.69,7.08,5.77,7.19,7.23,5.81,7.5,5.46,4.85,7.15,7.19,2.12,4.77,6.31,5.35,4.5,6.04,7.38,6.27,8.27,7.31,7.27,7.73,7.27,6.35,8.31,7.23,7.81,7.31,8.27,7.23,7.38,8.62,7.35,4.12
